NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,Operator
CEN21LA265,ACC,2021-06-14T08:52:00Z,Columbus,Ohio,United States,N13159,Minor,0,0,1,40.07951,-83.07321,CESSNA,180K,NA
CEN21LA267,ACC,2021-06-14T08:30:00Z,Roanoke,Texas,United States,N503GL,Minor,0,0,2,33.049845,-97.232237,GREAT LAKES,2T-1A-1,NA
CEN21LA271,ACC,2021-06-14T07:00:00Z,Buena Vista,Colorado,United States,N30286,Minor,0,0,1,38.8422,-106.1311,CESSNA,T210L,NA
CEN21FA263,ACC,2021-06-13T23:55:00Z,Madisonville,Texas,United States,N3258W,Fatal,1,5,0,30.908162,-95.952974,PIPER,PA-32-260,NA
ERA21LA249,ACC,2021-06-13T17:00:00Z,Groton,Connecticut,United States,N430EP,None,0,0,0,41.33295,-72.03935,CESSNA,172R,Arrow Aviation LLC
ERA21LA248,ACC,2021-06-13T15:30:00Z,Nellysford,Virginia,United States,N33929,Serious,0,1,0,37.879582,-78.893634,SCHWEIZER,SGS 2-33A,SHENANDOAH VALLEY SOARING INC
CEN21LA264,ACC,2021-06-13T13:30:00Z,Elwood,Nebraska,United States,N777JG,None,0,0,0,40.70839,-99.83443,BOEING,B75N1,NA
ANC21LA046,ACC,2021-06-13T08:30:00Z,Nenana,Alaska,United States,N178TT,None,0,0,0,64.4198,-148.46158,BELLANCA,8GCBC,NA
WPR21LA230,ACC,2021-06-12T09:45:00Z,Fields,Oregon,United States,N20406,None,0,0,0,42.264206,-118.67499,CESSNA,172,CHEWELAH FLYERS INC
CEN21LA282,ACC,2021-06-12T08:50:00Z,Fulshear,Texas,United States,N5853W,None,0,0,0,29.690083,-95.840474,PIPER,PA-28-150,NA
WPR21LA226,ACC,2021-06-11T17:00:00Z,Miles City,Montana,United States,N2218B,None,0,0,0,46.41905,-105.32086,CESSNA,170B,NA
WPR21LA303,ACC,2021-06-10T20:58:00Z,Yelm,Washington,United States,N513WF,None,0,0,0,46.896915,-122.50825,CESSNA,172S,NA
CEN21LA262,ACC,2021-06-10T20:28:00Z,Muncie,Indiana,United States,UNREG,Serious,0,1,0,40.127503,-85.438765,CESSNA,150H,NA
CEN21LA261,ACC,2021-06-10T19:10:00Z,Lafayette,Colorado,United States,N3793W,None,0,0,0,40.03063,-105.1037,PIPER,PA32,Rocky Mountain Flight School
OPS21LA003,INC,2021-06-10T17:45:00Z,San Diego,California,United States,"N8674B, N197SY",None,0,0,0,32.730364,-117.1764,"BOEING, EMBRAER S A","737-8H4, ERJ 170-200 LR","SOUTHWEST AIRLINES CO,SKYWEST AIRLINES INC"
CEN21LA284,ACC,2021-06-10T15:15:00Z,Reserve,Louisiana,United States,N202SM,None,0,0,0,30.08747,-90.58283,ROBINSON HELICOPTER COMPANY,R44 II,State Machinery & Equipment Acquisition LLC
CEN21LA268,ACC,2021-06-10T10:08:00Z,Saint James,Louisiana,United States,N365CP,None,0,0,0,30.038001,-90.927146,CESSNA,172S,BARR AIR PATROL LLC
CEN21LA260,ACC,2021-06-09T21:00:00Z,Denton,Texas,United States,N4147J,Minor,0,0,1,33.201961,-97.199097,PIPER,PA-28-140,NA
ERA21LA247,ACC,2021-06-08T16:00:00Z,Cumberland,Maryland,United States,N315SV,Minor,0,0,1,39.604833,-78.745833,GARRISON RONALD L,ZODIAC 601 XL,GARRISON RONALD L
WPR21FA223,ACC,2021-06-07T14:20:00Z,Porterville,California,United States,N94PJ,Fatal,1,0,0,36.036111,-119.07,VANS,RV6,NA
ERA21LA241,ACC,2021-06-06T17:01:00Z,Robbinsville,New Jersey,United States,N79RG,Serious,0,1,0,40.213376,-74.583327,PIPER,PA-24-260,FEENSRTA GREGORY W
ERA21FA239,ACC,2021-06-06T12:49:00Z,Wurtsboro,New York,United States,N2878H,Fatal,1,0,0,41.597139,-74.458306,SCHWEIZER,SGS 1-35,NA
CEN21FA252,ACC,2021-06-06T10:20:00Z,Darlington,Indiana,United States,N853L,Fatal,2,0,0,40.114244,-86.75415,DIAMOND AIRCRAFT IND INC,DA 40 NG,Lift Training Academy
ANC21LA045,ACC,2021-06-05T21:30:00Z,Chandalar Lake,Alaska,United States,N85DT,None,0,0,0,67.50296,-148.4935,CESSNA,A185F,NA
